Recenum,G
10040001,-0.005451493
10040002,0.008870395
10040003,0.017341688
10040004,0.017410105
10040005,0.013318245
10040006,0.010454763
10040007,0.010047993
10040008,0.002536683
10040009,-0.001758832
10040010,-0.003924054
10040011,-0.006390791
10040012,-0.009587034
10040013,-0.011925638
10040014,-0.009095462
10040015,-0.014043269
10040016,-0.013667467
10040017,-0.012784556
10040018,-0.017472055
10040019,-0.018418228
10040020,-0.024240059
10040021,-0.031489135
10040022,-0.047966805
10040023,-0.066032257
10040024,-0.093843369
10040025,-0.13189273
10040026,-0.186151235
10040027,-0.253108993
10040028,-0.338643458
10040029,-0.447421768
10040030,-0.573444024
10040031,-0.719633716
10040032,-0.889863266
10040033,-1.064044541
10040034,-1.23958495
10040035,-1.408004474
10040036,-1.539442394
10040037,-1.603836711
10040038,-1.595073478
10040039,-1.462423459
10040040,-1.192838067
10040041,-0.779248915
10040042,-0.227166754
10040043,0.416289594
10040044,1.07102871
10040045,1.685479033
10040046,2.193158648
10040047,2.571102633
10040048,2.822806764
10040049,2.95931996
10040050,2.997080242
10040051,2.948280622
10040052,2.818921474
10040053,2.612392344
10040054,2.313165178
10040055,1.916691301
10040056,1.423033804
10040057,0.841027796
10040058,0.213064438
10040059,-0.38495261
10040060,-0.90637178
10040061,-1.296779146
10040062,-1.533940702
10040063,-1.640013188
10040064,-1.633564213
10040065,-1.537218021
10040066,-1.389317639
10040067,-1.212583288
10040068,-1.021340605
10040069,-0.837048614
10040070,-0.669909298
10040071,-0.519000873
10040072,-0.396180031
10040073,-0.293065585
10040074,-0.209692275
10040075,-0.148240865
10040076,-0.101209148
10040077,-0.065996598
10040078,-0.044660697
10040079,-0.031554436
10040080,-0.01948964
10040081,-0.012493254
10040082,-0.011880891
10040083,-0.00896389
10040084,-0.012374256
10040085,-0.008722504
10040086,-0.011903689
10040087,-0.012439095
10040088,-0.005445751
10040089,-0.008633448
10040090,-0.007684721
10040091,-0.003569161
10040092,-0.000551876
10040093,-0.000236692
10040094,0.002415558
10040095,0.008408459
10040096,0.005333549
10040097,0.00333177
10040098,0.004442617
10040099,-0.004063475
10040100,-0.005451473
10050001,-0.00545147
10050002,0.00601031
10050003,0.012664112
10050004,0.008129171
10050005,0.006207587
10050006,0.005198093
10050007,0.001269767
10050008,-0.003520998
10050009,-0.001852633
10050010,-0.005751442
10050011,-0.011263324
10050012,-0.008416985
10050013,-0.011168184
10050014,-0.010076242
10050015,-0.010289381
10050016,-0.010882816
10050017,-0.008192471
10050018,-0.007150695
10050019,-0.010657003
10050020,-0.009601383
10050021,-0.007527413
10050022,-0.017344357
10050023,-0.024705599
10050024,-0.035973706
10050025,-0.062868104
10050026,-0.093723804
10050027,-0.140605806
10050028,-0.207010045
10050029,-0.295378453
10050030,-0.405683621
10050031,-0.544384834
10050032,-0.711730487
10050033,-0.900625753
10050034,-1.103080601
10050035,-1.314954581
10050036,-1.501062731
10050037,-1.641444625
10050038,-1.704491122
10050039,-1.641933359
10050040,-1.418178514
10050041,-1.016627759
10050042,-0.425528358
10050043,0.292953183
10050044,1.035726254
10050045,1.701288468
10050046,2.207797186
10050047,2.550819421
10050048,2.752434191
10050049,2.827154402
10050050,2.821713504
10050051,2.75903087
10050052,2.631824806
10050053,2.452258232
10050054,2.199641858
10050055,1.830248445
10050056,1.345585258
10050057,0.738997606
10050058,0.047477604
10050059,-0.618668424
10050060,-1.167588056
10050061,-1.540514534
10050062,-1.722668675
10050063,-1.754620004
10050064,-1.663631104
10050065,-1.489899079
10050066,-1.280503522
10050067,-1.055840784
10050068,-0.836600078
10050069,-0.64156847
10050070,-0.474658345
10050071,-0.334267158
10050072,-0.224221348
10050073,-0.147645684
10050074,-0.088404117
10050075,-0.045448735
10050076,-0.022228162
10050077,-0.011195273
10050078,0.001922256
10050079,0.003991076
10050080,-0.000967131
10050081,0.002891327
10050082,-0.002710623
10050083,-0.008833004
10050084,-0.00658552
10050085,-0.007727945
10050086,-0.013336936
10050087,-0.009781166
10050088,-0.010677581
10050089,-0.009575405
10050090,-0.005292339
10050091,-0.009264121
10050092,-0.002238805
10050093,0.001071853
10050094,-0.003401807
10050095,0.000881403
10050096,0.001098068
10050097,-0.004305451
10050098,-0.00560525
10050099,-0.010418416
10050100,-0.005451431
10060001,-0.005451413
10060002,-0.010835095
10060003,-0.008825479
10060004,-0.005563038
10060005,-0.001044664
10060006,-0.004606906
10060007,-0.002961823
10060008,-0.002186991
10060009,-0.004390901
10060010,-0.007050332
10060011,-0.010319908
10060012,-0.006989661
10060013,-0.010459327
10060014,-0.012081853
10060015,-0.00846962
10060016,-0.008149194
10060017,-0.00891844
10060018,-0.001858872
10060019,0.000651299
10060020,0.002866328
10060021,0.010281746
10060022,0.011578257
10060023,0.0145298
10060024,0.013271074
10060025,0.003566343
10060026,-0.011876149
10060027,-0.041990896
10060028,-0.092510493
10060029,-0.166933467
10060030,-0.267861033
10060031,-0.406656198
10060032,-0.58136248
10060033,-0.790073706
10060034,-1.035747783
10060035,-1.300466051
10060036,-1.563134796
10060037,-1.796843039
10060038,-1.956191345
10060039,-1.980340427
10060040,-1.815793271
10060041,-1.416465493
10060042,-0.751874988
10060043,0.129151307
10060044,1.052228996
10060045,1.820125668
10060046,2.366857295
10060047,2.689133269
10060048,2.835647986
10060049,2.875580025
10060050,2.838248003
10060051,2.762992034
10060052,2.673378747
10060053,2.541230912
10060054,2.332907964
10060055,2.0182109
10060056,1.530472052
10060057,0.845100907
10060058,0.010118488
10060059,-0.820313841
10060060,-1.464874698
10060061,-1.850802544
10060062,-1.994855441
10060063,-1.952048213
10060064,-1.782698496
10060065,-1.536317446
10060066,-1.260786564
10060067,-0.990703944
10060068,-0.744177613
10060069,-0.529539974
10060070,-0.359716385
10060071,-0.227407765
10060072,-0.126957106
10060073,-0.063642817
10060074,-0.019121966
10060075,0.008958838
10060076,0.01900461
10060077,0.022433596
10060078,0.022869859
10060079,0.01545285
10060080,0.012200527
10060081,0.00676908
10060082,-0.002128824
10060083,-0.002628898
10060084,-0.00561158
10060085,-0.011327157
10060086,-0.010016454
10060087,-0.011853384
10060088,-0.01160191
10060089,-0.011272829
10060090,-0.007456784
10060091,-0.00933276
10060092,-0.006702336
10060093,-0.001989834
10060094,-0.000939687
10060095,-0.001334911
10060096,0.000323448
10060097,0.002151477
10060098,0.000861573
10060099,-0.002243707
10060100,-0.005451424
10070001,-0.005451414
10070002,-0.001795145
10070003,-6.47E-05
10070004,0.000803666
10070005,-0.001385499
10070006,-0.003575186
10070007,-0.002101597
10070008,-0.004667902
10070009,-0.008349812
10070010,-0.008899003
10070011,-0.007363041
10070012,-0.010741862
10070013,-0.011992304
10070014,-0.007325758
10070015,-0.010865738
10070016,-0.010016831
10070017,-0.006771628
10070018,-0.004384074
10070019,0.001923754
10070020,0.005579637
10070021,0.018580988
10070022,0.024068232
10070023,0.031492119
10070024,0.039157174
10070025,0.044092038
10070026,0.034578682
10070027,0.016070498
10070028,-0.014052726
10070029,-0.079581107
10070030,-0.171676936
10070031,-0.300618001
10070032,-0.481746498
10070033,-0.711495227
10070034,-0.98397656
10070035,-1.300123639
10070036,-1.636782595
10070037,-1.951816753
10070038,-2.206205138
10070039,-2.328404518
10070040,-2.231673525
10070041,-1.836760623
10070042,-1.079947603
10070043,0.04096225
10070044,1.238452314
10070045,2.13741169
10070046,2.694231528
10070047,2.963684719
10070048,3.036170796
10070049,2.991248952
10070050,2.896128173
10070051,2.795185106
10070052,2.710188204
10070053,2.620587604
10070054,2.478973386
10070055,2.216062569
10070056,1.746010876
10070057,0.988500516
10070058,-0.063076434
10070059,-1.136921111
10070060,-1.884745315
10070061,-2.259454398
10070062,-2.333208051
10070063,-2.194439798
10070064,-1.920963082
10070065,-1.587178512
10070066,-1.246790805
10070067,-0.921224198
10070068,-0.644253
10070069,-0.420374667
10070070,-0.245836017
10070071,-0.118845558
10070072,-0.03700509
10070073,0.016007044
10070074,0.048431378
10070075,0.05422875
10070076,0.05524836
10070077,0.051074925
10070078,0.03834602
10070079,0.025492324
10070080,0.016916293
10070081,0.010516837
10070082,-0.000170338
10070083,-0.00652051
10070084,-0.009340334
10070085,-0.009433269
10070086,-0.012219262
10070087,-0.011054215
10070088,-0.009198895
10070089,-0.011162024
10070090,-0.010053325
10070091,-0.007566568
10070092,-0.006659821
10070093,-0.006921324
10070094,-0.00391392
10070095,0.000147923
10070096,-0.00297837
10070097,-0.001600248
10070098,0.001259624
